I0,I1,I2,I3,I4,I5,I6,I7
0.000000,50.132286,31.803240,31.816399,0.000000,0.000000,402.677490,-0.120000
0.000000,50.137096,31.803240,31.822992,0.000000,0.000000,1007.153992,1.830000
0.000000,50.132633,31.803240,31.857748,0.000000,0.000000,1408.913696,1.540000
0.000000,50.132549,31.803240,31.922810,0.000000,0.000000,2007.041260,2.740000
0.000000,50.123741,31.803240,32.029400,0.000000,0.000000,2401.201904,6.770000
0.000000,50.114891,31.803240,32.322830,0.000000,0.000000,2982.814453,7.520000
0.000000,50.110985,31.803240,32.586708,0.000000,0.000000,3362.528809,8.360000
0.000000,50.119251,31.803240,33.093666,0.000000,0.000000,3917.300293,12.800000
0.000000,50.126331,31.803240,33.554634,0.000000,0.000000,4275.676758,15.690000
0.000000,50.126846,31.803240,34.404949,0.000000,0.000000,4793.307617,20.260000
0.000000,50.119625,31.803240,35.131554,0.000000,0.000000,5123.537109,22.530001
0.000000,50.112366,31.803240,36.493027,0.000000,0.000000,5593.955078,29.450001
0.000000,50.109158,31.803240,37.613140,0.000000,0.000000,5889.449707,34.230000
0.000000,50.105938,31.803240,39.572380,0.000000,0.000000,6303.020996,40.770000
0.000000,50.104515,31.803240,41.121391,0.000000,0.000000,6557.556152,44.799999
0.000000,50.103085,31.803240,43.862873,0.000000,0.000000,6905.304199,52.549999
0.000000,50.102455,31.803240,45.986885,0.000000,0.000000,7113.169434,58.330002
0.000000,50.101822,31.803240,49.646545,0.000000,0.000000,7386.991211,67.419998
0.000000,50.101543,31.803240,52.341869,0.000000,0.000000,7543.128418,74.190002
0.000000,50.101257,31.803240,56.843304,0.000000,0.000000,7736.012695,82.320000
0.000000,50.095531,31.803240,60.221088,0.000000,0.000000,7836.164063,87.970001
0.000000,50.080612,31.803240,65.765633,0.000000,0.000000,7942.400879,97.320000
0.000000,50.074024,31.803240,69.835159,0.000000,0.000000,7983.241699,103.730003
0.000000,50.055206,31.803240,76.418358,0.000000,0.000000,7998.616211,113.839996
0.000000,50.043472,31.803240,81.244263,0.000000,0.000000,7977.878906,120.989998
0.000000,50.014729,31.803240,89.111801,0.000000,0.000000,7899.848633,131.250000
0.000000,49.995438,31.803240,94.767174,0.000000,0.000000,7816.431641,136.839996
0.000000,49.943882,31.803240,103.817543,0.000000,0.000000,7644.271973,144.800003
0.000000,49.889870,31.803240,109.956902,0.000000,0.000000,7498.330566,150.639999
