I0,I1,I2,I3,I4,I5,I6,I7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.010051,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.011338,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.012557,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.013749,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.014968,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.016038,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.016947,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.017764,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.018383,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.019000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.019528,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.020229,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.020941,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.021740,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.022628,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.023476,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.024449,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.025517,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.026797,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.027768,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.028334,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.029282,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.030825,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.032189,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.033360,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.034376,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.035458,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.036620,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.037728,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.038750,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.039575,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.040262,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.040973,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.041615,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.042225,0.000000,0.000000,0.000000,0.000000,0.000000
224.395401,224.075790,3.314554,224.395401,1.897420,0.208660,0.000000,82.000000
224.395401,224.077042,3.316012,224.395401,1.965670,-0.061842,0.000000,94.000000
224.395401,224.077148,3.317541,224.395401,1.971438,-0.029423,0.000000,92.000000
224.395401,224.077148,3.319015,224.395401,1.971693,-0.056854,0.000000,94.000000
224.395401,224.077148,3.320467,224.395401,1.971948,0.028334,0.000000,91.000000
224.395401,224.077148,3.321996,224.395401,1.972202,0.013915,0.000000,91.000000
224.395401,224.077148,3.323430,224.395401,1.972457,0.017978,0.000000,91.000000
224.395401,224.077148,3.324921,224.395401,1.972711,-0.078052,0.000000,94.000000
224.395401,224.077148,3.326397,224.395401,1.972966,-0.152988,0.000000,96.000000
224.395401,224.077148,3.328001,224.395401,1.973221,-0.461560,0.000000,107.000000
224.395401,224.077148,3.329269,224.395401,1.973476,0.296730,0.000000,82.000000
224.395401,224.077148,3.330889,224.395401,1.973730,0.132245,0.000000,88.000000
224.395401,224.077148,3.332287,224.395401,1.973985,0.073874,0.000000,89.000000
224.395401,224.077148,3.333555,224.395401,1.974239,0.134116,0.000000,87.000000
224.395401,224.077148,3.334917,224.395401,1.974494,0.287600,0.000000,83.000000
224.395401,224.077148,3.336135,224.395401,1.974749,-0.100324,0.000000,95.000000
224.395401,224.077148,3.336871,224.395401,1.975003,-0.331590,0.000000,103.000000
224.395401,224.077148,3.337699,224.395401,1.975258,0.351956,0.000000,81.000000
224.395401,224.077148,3.338671,224.395401,1.975513,0.043765,0.000000,91.000000
224.395401,224.077148,3.340475,224.395401,1.975768,-0.222811,0.000000,100.000000
224.395401,224.077148,3.341858,224.395401,1.976022,0.121529,0.000000,89.000000
224.395401,224.077148,3.343561,224.395401,1.976277,0.119120,0.000000,88.000000
224.395401,224.077148,3.345204,224.395401,1.976532,0.279637,0.000000,83.000000
224.395401,224.077148,3.346776,224.395401,1.976786,-0.150710,0.000000,98.000000
